ranking,commercial_stage,classificacao,opportunity_score,verification_score,commercial_fit_score,priority_score,cnpj,razao_social,uf,municipio_empresa,orgao_contratante,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_probable_14133,exact_budget_date,proxy_date,proxy_type,minimum_elapsed_confirmed,temporal_reasoning,calculation_blocked,data_base_status,valor_potencial,teto_teorico,document_request_ready,contact_readiness,human_review_status,claim_readiness,email,telefone,site,argumento_comercial,linguagem_proibida,proxima_acao,sinais_favoraveis,incertezas,documentos_faltantes
120,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,94.0,35.0,46.6,68.0,19758842000135,LCM CONSTRUCAO E COMERCIO S.A,MG,BELO HORIZONTE,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000493/2024,"EXECUÇÃO DOS SERVIÇOS EMERGENCIAIS NA RODOVIA BR-470/RS DO KM 253,5 AO KM 287,3, SOB JURISDIÇÃO DA UNIDADE LOCAL DE PASSO FUNDO/RS.",405546040.48,LEI_14133_2021,True,True,,2024-10-29,data_assinatura,True,Assinatura em 2024-10-29 há 644 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,3132987050,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
121,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,94.0,35.0,46.6,68.0,19758842000135,LCM CONSTRUCAO E COMERCIO S.A,MG,BELO HORIZONTE,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000550/2024,EXECUÇÃO DOS SERVIÇOS EMERGENCIAIS NA RODOVIA BR-470/RS - KM 178+950 AO KM 191+980 - LOTE 01 (VERANÓPOLIS) - SOB JURISDIÇÃO DA UNIDADE LOCAL DE PASSO FUNDO/RS.,171729639.03,LEI_14133_2021,True,True,,2024-11-28,data_assinatura,True,Assinatura em 2024-11-28 há 614 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,3132987050,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
6,LIKELY_ADJUSTMENT_OPPORTUNITY,RESEARCH_REQUIRED,95.0,35.0,73.0,75.0,82743832000162,PLANATERRA-TERRAPLENAGEM E PAVIMENTACAO LTDA,SC,CHAPECO,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000542/2024,"EXECUÇÃO DOS SERVIÇOS EMERGENCIAIS NA RODOVIA BR-116/RS SEGMENTO DO KM 154,00 AO KM 171,00, ENTRE CAXIAS DO SUL E A PONTE SOBRE O RIO CAÍ, SOB JURISDIÇÃO DA UNIDADE LOCAL DE VACARIA/RS.",143892706.4,LEI_14133_2021,True,True,,2024-11-27,data_assinatura,True,Assinatura em 2024-11-27 há 615 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,none,human_review_pending,claim_blocked,,,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Enriquecer contato empresarial; manter na fila de leads prioritários.,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado | contato_empresarial_ausente — lead permanece na fila de enriquecimento,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
80,LIKELY_ADJUSTMENT_OPPORTUNITY,RESEARCH_REQUIRED,94.0,35.0,61.6,68.75,92779503000125,CASTILHO ENGENHARIA E EMPREENDIMENTOS S/A,PR,CURITIBA,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000578/2024,"SERVIÇOS EMERGENCIAIS NECESSÁRIOS PARA A CONDUÇÃO DE OBRAS DE SUBSTITUIÇÃO DAS BARREIRAS TIPO CRIB-WALL E ESTABILIZAÇÃO DAS ENCOSTAS DA RODOVIA BR-158/RS, NO SEGMENTO DO KM 310+000 AO KM 324+000, NA JURISDIÇÃO DA UNIDADE LOCAL DE SANTA MARIA/RS.",116627085.35,LEI_14133_2021,True,True,,2024-12-12,data_assinatura,True,Assinatura em 2024-12-12 há 600 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,none,human_review_pending,claim_blocked,,,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Enriquecer contato empresarial; manter na fila de leads prioritários.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado | contato_empresarial_ausente — lead permanece na fila de enriquecimento,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
258,LIKELY_ADJUSTMENT_OPPORTUNITY,RESEARCH_REQUIRED,100.0,35.0,55.0,64.5,00472805000138,TRACADO CONSTRUCOES E SERVICOS LTDA,SP,SAO PAULO,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,92883834000100-2-000001/2025,"Contratação de empresa do ramo de engenharia para a execução dos serviços de elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, da drenagem e da sinalização, bem como obras de contenção e melhorias necessárias para reestabelecimento e qualificação viária da rodovia ERS-332,lote B (lote 2), no trecho do k",117553675.93,LEI_14133_2021,True,True,,2025-01-20,data_assinatura,True,Assinatura em 2025-01-20 há 561 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,none,human_review_pending,claim_blocked,,,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Enriquecer contato empresarial; manter na fila de leads prioritários.,obra_classificada_conf=1.00 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=1.00) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado | contato_empresarial_ausente — lead permanece na fila de enriquecimento,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
636,LIKELY_ADJUSTMENT_OPPORTUNITY,RESEARCH_REQUIRED,94.0,35.0,46.6,60.0,19758842000135,LCM CONSTRUCAO E COMERCIO S.A,MG,BELO HORIZONTE,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000570/2024,"EXECUÇÃO DOS SERVIÇOS EMERGENCIAIS NA RODOVIA BR-470/RS - KM 192,310 AO KM 194,60 - LOTE 04 (BENTO GONÇALVES) - SOB JURISDIÇÃO DA UNIDADE LOCAL DE PASSO FUNDO/RS.",125879105.23,LEI_14133_2021,True,True,,2024-12-11,data_assinatura,True,Assinatura em 2024-12-11 há 601 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,none,human_review_pending,claim_blocked,,,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Enriquecer contato empresarial; manter na fila de leads prioritários.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado | contato_empresarial_ausente — lead permanece na fila de enriquecimento,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
2,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,95.0,35.0,63.0,77.5,92943398000118,CONSTRUTORA CIDADE LIMITADA,RS,PORTO ALEGRE,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000192/2024,ELABORAÇÃO DE PROJETO E EXECUÇÃO DAS OBRAS EMERGENCIAIS PARA CONSTRUÇÃO DA PONTE SOBRE O RIO CAÍ NA BR-116/RS ENTRE OS MUNICÍPIOS DE CAXIAS DO SUL/RS E NOVA PETRÓPOLIS/RS.,245611510.28,LEI_14133_2021,True,True,,2024-06-05,data_assinatura,True,Assinatura em 2024-06-05 há 790 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,5133886465,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pontes_estruturas (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
33,LIKELY_ADJUSTMENT_OPPORTUNITY,RESEARCH_REQUIRED,96.0,35.0,64.4,70.25,55219671000130,CONSORCIO PAVIMENTA PONTA GROSSA,PR,PONTA GROSSA,Unidade administrativa,76175884000187-2-000146/2024,Execução de obras de pavimentação em Concreto Betuminoso Usinado a Quente (CBUQ) no perímetro urbano.,135800000.0,LEI_14133_2021,True,True,,2024-05-23,data_assinatura,True,Assinatura em 2024-05-23 há 803 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,none,human_review_pending,claim_blocked,,,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Enriquecer contato empresarial; manter na fila de leads prioritários.,obra_classificada_conf=0.84 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.84) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado | contato_empresarial_ausente — lead permanece na fila de enriquecimento,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
34,LIKELY_ADJUSTMENT_OPPORTUNITY,RESEARCH_REQUIRED,96.0,35.0,64.4,70.25,55219671000130,CONSORCIO PAVIMENTA PONTA GROSSA,PR,PONTA GROSSA,Unidade administrativa,76175884000187-2-000147/2024,Execução de obras de pavimentação em Concreto Betuminoso Usinado a Quente (CBUQ) no perímetro urbano.,135800000.0,LEI_14133_2021,True,True,,2024-05-23,data_assinatura,True,Assinatura em 2024-05-23 há 803 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,none,human_review_pending,claim_blocked,,,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Enriquecer contato empresarial; manter na fila de leads prioritários.,obra_classificada_conf=0.84 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.84) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado | contato_empresarial_ausente — lead permanece na fila de enriquecimento,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
9,LIKELY_ADJUSTMENT_OPPORTUNITY,RESEARCH_REQUIRED,100.0,35.0,70.0,73.25,07807120000144,CONSTRUTORA ALEGRETENSE LTDA,RS,ALEGRETE,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,92883834000100-2-000015/2025,"Contratação de empresa do ramo de engenharia para a execução dos serviços de elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, da drenagem e da sinalização, bem como obras de contenção e melhorias necessárias para reestabelecimento e qualificação viária da rodovia ERS-640, Lote 15, trecho entr. ERS-241,",106912731.06,LEI_14133_2021,True,True,,2025-01-20,data_assinatura,True,Assinatura em 2025-01-20 há 561 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,none,human_review_pending,claim_blocked,,,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Enriquecer contato empresarial; manter na fila de leads prioritários.,obra_classificada_conf=1.00 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=1.00) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado | contato_empresarial_ausente — lead permanece na fila de enriquecimento,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
